photo_id,auto_status,reviewed_status
WB1_23_0001_S_1,OK,OK
WB1_23_0001_S_2,OK,OK
WB1_23_0001_S_3,OK,OK
WB1_23_0002_S_1,OK,OK
WB1_23_0002_S_2,OK,OK
WB1_23_0002_S_3,OK,OK
WB1_23_0003_S_1,FAILED,FAILED
WB1_23_0003_S_2,FAILED,FAILED
WB1_23_0003_S_3,FAILED,FAILED
WB1_23_0004_S_1,OK,OK
WB1_23_0004_S_2,OK,OK
WB1_23_0004_S_3,OK,OK
WB1_23_0005_S_2,OK,OK
WB1_23_0005_S_3,OK,OK
WB1_23_0006_S_1,OK,OK
WB1_23_0006_S_2,OK,OK
WB1_23_0006_S_3,OK,OK
WB1_23_0007_S_2,OK,OK
WB1_23_0007_S_3,OK,OK
WB1_23_0008_S_1,OK,OK
WB1_23_0008_S_2,OK,OK
WB1_23_0008_S_3,FAILED,FAILED
WB1_23_0009_S_1,OK,OK
WB1_23_0009_S_2,OK,OK
WB1_23_0009_S_3,OK,OK
WB1_23_0010_S_3,OK,OK
WB1_23_0016_S_1,SUSPECT,SUSPECT
WB1_23_0016_S_2,OK,OK
WB1_23_0017_S_1,FAILED,FAILED
WB1_23_0017_S_2,FAILED,FAILED
WB1_23_0017_S_3,FAILED,FAILED
WB1_23_0018_S_1,SUSPECT,SUSPECT
WB1_23_0018_S_2,SUSPECT,SUSPECT
WB1_23_0018_S_3,FAILED,FAILED
WB1_23_0019_S_1,OK,OK
WB1_23_0019_S_2,OK,OK
WB1_23_0020_S_1,OK,OK
WB1_23_0020_S_2,OK,OK
WB1_23_0020_S_3,OK,OK
WB1_23_0021_S_1,OK,OK
WB1_23_0021_S_2,OK,OK
WB1_23_0021_S_3,OK,OK
WB1_23_0022_S_1,OK,OK
WB1_23_0022_S_2,OK,OK
WB1_23_0022_S_3,OK,OK
WB1_23_0023_S_1,OK,OK
WB1_23_0023_S_2,OK,OK
WB1_23_0023_S_3,OK,OK
WB1_23_0024_S_1,OK,OK
WB1_23_0024_S_2,OK,OK
WB1_23_0024_S_3,OK,OK
WB1_23_0025_S_1,OK,OK
WB1_23_0025_S_2,OK,OK
WB1_23_0025_S_3,OK,OK
WB1_23_0026_S_1,OK,OK
WB1_23_0026_S_2,OK,OK
WB1_23_0026_S_3,OK,OK
WB1_23_0031_S_1,OK,OK
WB1_23_0031_S_2,OK,OK
WB1_23_0031_S_3,OK,OK
WB1_23_0032_S_1,OK,OK
WB1_23_0032_S_2,OK,OK
WB1_23_0032_S_3,OK,OK
WB1_23_0033_S_1,OK,OK
WB1_23_0033_S_2,OK,OK
WB1_23_0033_S_3,OK,OK
WB1_23_0034_S_1,OK,OK
WB1_23_0034_S_2,SUSPECT,SUSPECT
WB1_23_0034_S_3,OK,OK
WB1_23_0035_S_1,OK,OK
WB1_23_0035_S_2,OK,OK
WB1_23_0035_S_3,OK,OK
WB1_23_0036_S_1,OK,OK
WB1_23_0036_S_2,OK,OK
WB1_23_0036_S_3,OK,OK
WB1_23_0037_S_1,OK,OK
WB1_23_0037_S_2,OK,OK
WB1_23_0037_S_3,OK,OK
WB1_23_0038_S_1,OK,OK
WB1_23_0038_S_2,OK,OK
WB1_23_0038_S_3,OK,OK
WB1_23_0039_S_1,OK,OK
WB1_23_0039_S_2,OK,OK
WB1_23_0039_S_3,OK,OK
WB1_23_0040_S_1,OK,OK
WB1_23_0040_S_2,OK,OK
WB1_23_0040_S_3,OK,OK
WB1_23_0062_S_1,OK,OK
WB1_23_0062_S_2,OK,OK
WB1_23_0062_S_3,OK,OK
WB1_23_0063_S_1,OK,OK
WB1_23_0063_S_2,OK,OK
WB1_23_0063_S_3,OK,OK
WB1_23_0064_S_1,OK,OK
WB1_23_0064_S_2,OK,OK
WB1_23_0064_S_3,OK,OK
WB1_23_0065_S_1,OK,OK
WB1_23_0065_S_2,OK,OK
WB1_23_0065_S_3,OK,OK
WB1_23_0066_S_1,OK,OK
WB1_23_0066_S_2,OK,OK
WB1_23_0066_S_3,OK,OK
WB1_23_0067_S_1,OK,OK
WB1_23_0067_S_2,OK,OK
WB1_23_0067_S_3,OK,OK
WB1_23_0068_S_1,OK,OK
WB1_23_0068_S_2,OK,OK
WB1_23_0068_S_3,OK,OK
WB1_23_0069_S_1,OK,OK
WB1_23_0069_S_2,OK,OK
WB1_23_0069_S_3,OK,OK
WB1_23_0070_S_1,OK,OK
WB1_23_0070_S_2,OK,OK
WB1_23_0070_S_3,OK,OK
WB1_23_0076_S_1,OK,OK
WB1_23_0076_S_2,OK,OK
WB1_23_0076_S_3,OK,OK
WB1_23_0077_S_1,OK,OK
WB1_23_0077_S_2,OK,OK
WB1_23_0077_S_3,OK,OK
WB1_23_0078_S_1,OK,OK
WB1_23_0078_S_2,OK,OK
WB1_23_0078_S_3,OK,OK
WB1_23_0079_S_1,OK,OK
WB1_23_0079_S_2,OK,OK
WB1_23_0079_S_3,OK,OK
WB1_23_0080_S_1,OK,OK
WB1_23_0080_S_2,OK,OK
WB1_23_0080_S_3,OK,OK
WB1_23_0081_S_1,OK,OK
WB1_23_0081_S_2,OK,OK
WB1_23_0081_S_3,OK,OK
WB1_23_0082_S_1,OK,OK
WB1_23_0082_S_2,OK,OK
WB1_23_0082_S_3,OK,OK
WB1_23_0083_S_1,OK,OK
WB1_23_0083_S_2,OK,OK
WB1_23_0083_S_3,OK,OK
WB1_23_0084_S_1,OK,OK
WB1_23_0084_S_2,OK,OK
WB1_23_0084_S_3,OK,OK
WB1_23_0085_S_1,OK,OK
WB1_23_0085_S_2,OK,OK
WB1_23_0085_S_3,OK,OK
WB1_23_0086_S_1,OK,OK
WB1_23_0086_S_2,OK,OK
WB1_23_0086_S_3,OK,OK
WB1_23_0087_S_1,OK,OK
WB1_23_0087_S_2,OK,OK
WB1_23_0087_S_3,OK,OK
WB1_23_0091_S_1,OK,OK
WB1_23_0091_S_2,OK,OK
WB1_23_0091_S_3,OK,OK
WB1_23_0092_S_1,OK,OK
WB1_23_0092_S_3,OK,OK
WB1_23_0093_S_1,OK,OK
WB1_23_0093_S_2,OK,OK
WB1_23_0093_S_3,OK,OK
WB1_23_0094_S_1,OK,OK
WB1_23_0094_S_2,OK,OK
WB1_23_0094_S_3,OK,OK
